Label,RFX_ExpectedFrequency,RFX_ExceedanceProbability,DirichletAlpha,FFX_Posterior
SENSORY_RELAY,0.5672540027537204,0.98376,61.26343229740181,1.0
RELAY,0.36982708264585,0.01624,39.94132492575181,1.990154168992339e-152
NULL,0.031591498851030644,0.0,3.41188187591131,0.0
DIRECT,0.03132741574939889,0.0,3.3833609009350805,0.0
