Label,RFX_ExpectedFrequency,RFX_ExceedanceProbability,DirichletAlpha,FFX_Posterior
FLEX,0.9749593774690224,1.0,103.34569401171639,1.0
INTRA_ONLY,0.025040622530977608,0.0,2.654305988283627,0.0
