Label,RFX_ExpectedFrequency,RFX_ExceedanceProbability,DirichletAlpha,FFX_Posterior
SENSORY_RELAY__UNC_FLEX,0.54174744792326,0.98701,60.67571416740512,1.0
RELAY__UNC_FLEX,0.34471104512430323,0.01299,38.607637053921955,3.211042371227487e-165
NULL__UNC_FLEX,0.031162514413185804,0.0,3.4902016142768097,0.0
NULL__UNC_INTRA_ONLY,0.009872175318443801,0.0,1.1056836356657056,0.0
RELAY__UNC_INTRA_ONLY,0.02087019541694413,0.0,2.337461886697742,0.0
DIRECT__UNC_INTRA_ONLY,0.010266577146605853,0.0,1.1498566404198554,0.0
DIRECT__UNC_FLEX,0.030065415589973093,0.0,3.367326546076986,0.0
SENSORY_RELAY__UNC_INTRA_ONLY,0.011304629067284076,0.0,1.2661184555358163,0.0
