Subject,Task,Winner,WinnerPosterior,NULL__UNC_INTRA_ONLY,NULL__UNC_FLEX,RELAY__UNC_INTRA_ONLY,RELAY__UNC_FLEX,DIRECT__UNC_INTRA_ONLY,DIRECT__UNC_FLEX,SENSORY_RELAY__UNC_INTRA_ONLY,SENSORY_RELAY__UNC_FLEX
sub-55,MGOG,RELAY__UNC_FLEX,0.9996850544875506,1.002859566270682e-66,9.046932141252183e-05,1.1145103023408724e-65,0.9996850544875506,5.693899799971164e-66,8.103258308331491e-05,1.5739325890299918e-66,0.00014344360795350193
sub-56,MDOD,RELAY__UNC_FLEX,0.9964133316845435,2.43110662616686e-37,0.0007214771233246998,4.101033221996669e-37,0.9964133316845435,7.582691856301537e-38,0.0026913931349381217,5.957934309542514e-38,0.0001737980571937699
sub-56,MDOG,SENSORY_RELAY__UNC_FLEX,1.0,3.588137221850721e-70,7.355005158934475e-35,7.808706480166518e-60,1.230473453787061e-20,2.5852190028454637e-68,5.828120920412164e-32,2.379020658590955e-46,1.0
sub-56,MGOD,RELAY__UNC_INTRA_ONLY,0.5646870213537043,2.810990117943927e-59,1.4224203591135898e-58,0.5646870213537043,0.43531297864629565,2.5390489885711094e-55,2.756652042421587e-54,1.3855996917696284e-54,4.037396273183252e-54
sub-56,MGOG,SENSORY_RELAY__UNC_FLEX,0.9996136073218526,2.9155481921964674e-58,2.842327019904704e-17,1.1541829405260954e-57,3.74161369508628e-05,2.7743699884145795e-58,0.0003489765411964473,2.883720861844105e-52,0.9996136073218526
sub-58,MDOD,NULL__UNC_FLEX,0.4564928799044318,8.703688437071278e-28,0.4564928799044318,1.8733014137039948e-28,0.08673307252863825,1.1032179995292047e-28,0.2562283833314021,8.476587840737081e-24,0.20054566423552772
sub-58,MDOG,NULL__UNC_INTRA_ONLY,0.12507402291239791,0.12507402291239791,0.12495597683017297,0.12504597520888033,0.12492402504854878,0.12507402291239791,0.12495597683017297,0.12504597520888033,0.12492402504854878
sub-58,MGOD,RELAY__UNC_FLEX,0.9999999913537808,2.0644247839039025e-50,1.550164304423024e-20,1.5012956179249613e-36,0.9999999913537808,2.345192689727511e-51,2.087776924093483e-49,1.6635011555558416e-09,6.982718111265314e-09
sub-58,MGOG,RELAY__UNC_FLEX,0.9999916256086028,6.780189350796582e-56,8.965626839409968e-08,6.042069931620869e-56,0.9999916256086028,2.8113035662453394e-57,2.0495181302791083e-13,2.143583308387864e-58,8.28473492389192e-06
sub-63,MDOD,RELAY__UNC_FLEX,1.0,1.2297395473700543e-119,5.456167387577442e-97,1.042575284966707e-99,1.0,5.913683932259101e-102,2.929614324757689e-69,5.303036134226365e-101,2.160089877621466e-64
sub-63,MDOG,SENSORY_RELAY__UNC_FLEX,0.8152770549938964,1.049034917750166e-12,1.2207283690238225e-12,2.2957318691925246e-10,3.561292025684638e-11,3.076407647698522e-10,4.1196937852092207e-10,0.18472294401903763,0.8152770549938964
sub-63,MGOD,SENSORY_RELAY__UNC_FLEX,0.8797719077743326,5.0066123061586776e-08,2.5097087880024136e-06,2.216923383497921e-08,1.6335869936079772e-06,2.8886371290866932e-08,2.3423145809862268e-05,0.12020042466234791,0.8797719077743326
sub-63,MGOG,DIRECT__UNC_FLEX,0.9088876721167889,5.40078983962836e-46,0.0001261301876688403,3.513996554649894e-46,1.0324501776478827e-05,4.295614293760345e-47,0.9088876721167889,4.0572808798260294e-42,0.09097587319376581
